TargetClearRate,ActualClearRate,ErrorRate,Cooldown,Entropy,Weight1,Weight2,Weight3,Weight4
0.2,0,0.2,0.572197,1.292319,0.42,0.01,0.52,0.06
0.2,0,0.2,1.11766,1.493925,0.42,0.00,0.42,0.15
0.2,0,0.2,0.7648254,1.587314,0.36,0.00,0.39,0.24
0.2,0,0.2,0.9179744,1.510985,0.42,0.00,0.42,0.16
0.2,0,0.2,1.039633,1.558054,0.40,0.00,0.40,0.20
0.2,0,0.2,1.299212,1.606771,0.35,0.00,0.35,0.29
0.2,0.04,0.16,0.6699288,1.600515,0.40,0.00,0.33,0.26
0.2,0.03,0.17,0.5187011,1.558447,0.40,0.00,0.39,0.20
0.2,0.17,0.03,1.084478,1.655227,0.42,0.06,0.40,0.12
0.2,0.19,0.01000001,0.7348353,1.582437,0.37,0.00,0.39,0.23
0.2,0.46,0.26,0.7219023,1.093751,0.59,0.01,0.40,0.01
0.2,0,0.2,0.498485,1.218299,0.48,0.00,0.48,0.03
0.2,0.12,0.08000001,1.026067,1.407003,0.45,0.00,0.45,0.10
0.2,0.62,0.42,1.291152,1.531252,0.41,0.00,0.41,0.18
0.2,0,0.2,0.3918486,1.599772,0.38,0.00,0.35,0.27
0.2,0,0.2,0.5079032,1.598444,0.37,0.00,0.37,0.26
0.2,0,0.2,0.4982479,1.586714,0.38,0.00,0.38,0.24
0.2,0.01,0.19,0.5203586,1.548156,0.40,0.00,0.40,0.19
0.2,0.01,0.19,0.5441327,1.401106,0.45,0.00,0.45,0.10
0.2,0,0.2,0.5476846,1.52225,0.41,0.00,0.41,0.17
0.2,0.02,0.18,0.8000781,1.220924,0.52,0.01,0.44,0.03
0.2,0,0.2,0.5128238,1.525899,0.38,0.00,0.44,0.17
0.2,0.03,0.17,0.5605259,1.529264,0.41,0.00,0.41,0.18
0.2,0.09,0.11,0.6357988,1.490611,0.44,0.00,0.40,0.15
0.2,0.14,0.06,0.6281838,1.498064,0.42,0.00,0.42,0.15
0.2,0.05,0.15,0.6185372,1.556217,0.40,0.00,0.40,0.20
0.2,0.08,0.12,0.6022117,1.33124,0.46,0.00,0.46,0.07
0.2,0.27,0.07000001,0.668678,1.230595,0.48,0.00,0.48,0.04
0.2,0.12,0.08000001,0.6436222,1.477349,0.43,0.00,0.43,0.14
0.2,0.18,0.02,0.6746378,1.548187,0.40,0.00,0.40,0.19
0.2,0,0.2,0.1647612,1.136029,0.51,0.01,0.47,0.01
0.2,0,0.2,0.4972844,1.546566,0.40,0.00,0.40,0.19
0.2,0.15,0.05,0.6663898,1.608793,0.33,0.00,0.37,0.30
0.2,0.06,0.14,0.6355749,1.556263,0.37,0.00,0.42,0.20
0.2,0.2,0,0.7391696,1.570302,0.39,0.00,0.39,0.22
0.2,0.07,0.13,0.6155551,1.598583,0.37,0.00,0.37,0.26
0.2,0.03,0.17,0.5699123,1.550997,0.40,0.00,0.40,0.20
0.2,0.08,0.12,0.6251719,1.586168,0.38,0.00,0.38,0.24
0.2,0.03,0.17,0.6265438,1.61127,0.34,0.00,0.34,0.31
0.2,0,0.2,0.4242482,1.523789,0.41,0.00,0.41,0.17
